Beta,mu_IR,rho,k,eta,N,loglik,loglik.se
22.140069451073014,0.5,0.337977523627567,10,0.04833661624065467,38000,-105.519465503895,0.03110138826724058
22.482769025260303,0.5,0.33188650531054753,10,0.04776092825820156,38000,-105.54082477945998,0.03215789088840544
19.030465911551342,0.5,0.28570181241265713,10,0.055874282467042805,38000,-105.54126733197914,0.0739353608719684
21.775506983773855,0.5,0.33848433929351396,10,0.04764022828853127,38000,-105.54201407872259,0.031143391003943914
18.77237162194359,0.5,0.2804573480115069,10,0.05612856554054352,38000,-105.54452332275883,0.03166316716252625
18.518255189435653,0.5,0.28111890250289273,10,0.057374257926327964,38000,-105.55318748154477,0.03419403959010047
22.42806683083337,0.5,0.3297482504406968,10,0.04820043736044447,38000,-105.55403848042087,0.0544267424514893
19.452015872562114,0.5,0.2914914201734109,10,0.055071782917894135,38000,-105.55584496728494,0.025097417509089615
20.20133010543868,0.5,0.3024234224983778,10,0.053020926317479955,38000,-105.57437119914569,0.036388778452646695
18.90297682443503,0.5,0.29115694067319176,10,0.05553741610573883,38000,-105.57804248924184,0.03643164193076114
21.14331146481802,0.5,0.318632495135264,10,0.05043527093435857,38000,-105.58302395915604,0.03845450285944671
22.177607079805423,0.5,0.33743305847774485,10,0.04640540436735783,38000,-105.58536231684785,0.03683256898041991
19.86727014417517,0.5,0.30192715534633463,10,0.05373694717488945,38000,-105.59066014908419,0.027280790715182485
20.214079204298336,0.5,0.29745501241374295,10,0.05297620653110672,38000,-105.6224498943448,0.030593232900541906
19.203545833000746,0.5,0.2903691822782584,10,0.055336578165975946,38000,-105.63156761460615,0.04048575087033661
18.375754694030313,0.5,0.28409977918965723,10,0.05705128565446673,38000,-105.64186413268914,0.04030391316989299
18.315682122943134,0.5,0.2882580494133358,10,0.056560956575275496,38000,-105.64525150459735,0.03845825069148747
19.255258917482912,0.5,0.28388962642840626,10,0.055130947865442335,38000,-105.66593508144861,0.03698416991279359
18.50155439865248,0.5,0.2744902785047075,10,0.058169698943556565,38000,-105.69390390741322,0.02369833141031356
18.010994966438943,0.5,0.2694533769961346,10,0.06053193515811233,38000,-105.86921705764115,0.04442835990443725
15,0.5,0.5,10,0.06,38000,-129.08657560983167,0.7856513011957846
